ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
0012 076 112107,0012,076,1648 N MONROE ST,11/21/2007,EASTERWOOD,WESTERN,7,"(39.30762696, -76.64828557)"
0012 077 092410,0012,077,1646 N MONROE ST,09/24/2010,EASTERWOOD,WESTERN,7,"(39.30758766, -76.64828327)"
0012 085 111006,0012,085,1630 N MONROE ST,11/10/2006,EASTERWOOD,WESTERN,7,"(39.30728082, -76.64826563)"
0012 088 010815,0012,088,1624 N MONROE ST,01/08/2015,EASTERWOOD,WESTERN,7,"(39.30716665, -76.6482589)"
0012 096 011008,0012,096,1608 N MONROE ST,01/10/2008,EASTERWOOD,WESTERN,7,"(39.30685842, -76.64823978)"
0013A007 052908,0013A,007,1600 MCKEAN AVE,05/29/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30697748, -76.64741937)"
0013A008 052808,0013A,008,1602 MCKEAN AVE,05/28/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30701505, -76.64742169)"
0013A010 093009,0013A,010,1606 MCKEAN AVE,09/30/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30708799, -76.64742624)"
0013A011 060415,0013A,011,1608 MCKEAN AVE,06/04/2015,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30712489, -76.64742848)"
0013A014 022309,0013A,014,1614 MCKEAN AVE,02/23/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30723404, -76.64743494)"
0013A015 062411,0013A,015,1616 MCKEAN AVE,06/24/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30727082, -76.64743698)"
0013A016 062311,0013A,016,1618 MCKEAN AVE,06/23/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30730674, -76.64743898)"
0013A017 042811,0013A,017,1620 MCKEAN AVE,04/28/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30734246, -76.64744098)"
0013A019 121015,0013A,019,1624 MCKEAN AVE,12/10/2015,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30741679, -76.647445)"
0013A054 011106,0013A,054,1651 N MONROE ST,01/11/2006,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30768033, -76.64777723)"
0014 004 041609,0014,004,1606 N FULTON AVE,04/16/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30687609, -76.64657854)"
0014 006 090810,0014,006,1610 N FULTON AVE,09/08/2010,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30695241, -76.64658307)"
0014 012 022808,0014,012,1622 N FULTON AVE,02/28/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30718303, -76.64659666)"
0014 013 110804,0014,013,1624 N FULTON AVE,11/08/2004,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30722108, -76.6465989)"
0014 017 040414,0014,017,1632 N FULTON AVE,04/04/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30737469, -76.64660774)"
0014 018 022807,0014,018,1634 N FULTON AVE,02/28/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30741311, -76.64660995)"
